player_id,competition,season,matches_played,name,name_clean,age,position,position_full,grouped_position,position_list,position_full_list,grouped_position_list,primary_position,primary_position_full,primary_grouped_position,team_name,pass_xt_total,pass_xt_count,dribble_xt_total,dribble_xt_count,pass_xt_per90,dribble_xt_per90,total_xt,total_xt_per90,market_value_eur_m
145996,Premier League,2024/2025,22,Kenny Tete,Kenny Tete,29,DR,Right Back,Right Defender,DMR|DR,Right Defensive Midfielder|Right Back,Defensive Midfielder|Right Defender,DR,Right Back,Right Defender,Fulham,1.1441677589423596,776.0,0.043596138391972884,9.0,0.052007625406470886,0.0019816426541805856,1.1877638973343325,0.05398926806065148,13.0
146011,Champions League,2024/2025,8,Kyriakos Savvidis,Kyriakos Savvidis,30,MC,Central Midfielder,Central Midfielder,MC,Central Midfielder,Central Midfielder,MC,Central Midfielder,Central Midfielder,Slovan Bratislava,0.1946812378037436,211.0,-0.030130592204369654,4.0,0.02433515472546795,-0.003766324025546207,0.16455064559937396,0.020568830699921745,
146835,Europa League,2024/2025,8,Sondre Sørli,Sondre Sørli,29,Sub,Substitute,Substitute,Sub,Substitute,Substitute,Sub,Substitute,Substitute,Bodoe/Glimt,0.2240431641213919,48.0,0.006355592133456947,2.0,0.02800539551517399,0.0007944490166821184,0.23039875625484885,0.028799844531856106,
147863,Europa League,2024/2025,9,Guglielmo Vicario,Guglielmo Vicario,28,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,Tottenham,0.0965962627522878,174.0,0.0,0.0,0.010732918083587534,0.0,0.0965962627522878,0.010732918083587534,
147863,Premier League,2024/2025,24,Guglielmo Vicario,Guglielmo Vicario,28,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,Tottenham,0.15578809178699776,692.0,0.011345547251534163,2.0,0.0064911704911249065,0.0004727311354805901,0.16713363903853193,0.006963901626605497,32.0
148474,Premier League,2024/2025,17,James Bree,James Bree,27,Sub,Substitute,Substitute,DR,Right Back,Right Defender,DR,Right Back,Right Defender,Southampton,0.9055232009422094,498.0,0.01381301432841892,4.0,0.053266070643659374,0.0008125302546128777,0.9193362152706284,0.05407860089827226,2.5
148503,Champions League,2024/2025,12,Ollie Watkins,Ollie Watkins,29,Sub,Substitute,Substitute,FW,Striker,Striker,FW,Striker,Striker,Aston Villa,0.22262290783918193,97.0,-0.030359765837490376,2.0,0.018551908986598493,-0.002529980486457531,0.19226314200169156,0.016021928500140965,
148503,Premier League,2024/2025,38,Ollie Watkins,Ollie Watkins,29,Sub,Substitute,Substitute,FW,Striker,Striker,FW,Striker,Striker,Aston Villa,1.012874858009751,310.0,-0.1027617052266425,10.0,0.026654601526572397,-0.0027042554007011186,0.9101131527831086,0.02395034612587128,40.0
148546,Europa League,2024/2025,7,Lorenzo Pellegrini,Lorenzo Pellegrini,29,Sub,Substitute,Substitute,AMC|MC,Attacking Midfielder|Central Midfielder,Attacking Midfielder|Central Midfielder,AMC,Attacking Midfielder,Attacking Midfielder,Roma,0.7542383149296382,139.0,-0.02066619086845224,8.0,0.10774833070423404,-0.0029523129812074633,0.733572124061186,0.10479601772302657,
148546,Serie A,2024/2025,25,Lorenzo Pellegrini,Lorenzo Pellegrini,29,Sub,Substitute,Substitute,AMC|MC,Attacking Midfielder|Central Midfielder,Attacking Midfielder|Central Midfielder,AMC,Attacking Midfielder,Attacking Midfielder,Roma,1.5095799509281074,509.0,0.008846430250493665,13.0,0.060383198037124296,0.00035385721001974656,1.518426381178601,0.06073705524714404,9.0
